Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion
517;U+1F408 U+200D U+2B1B;🐈‍⬛;… …;… …;… …;… …;… …;… …;… …;… …;… …;… …;… …;⊛ black cat
518;U+1F981;🦁;;;;;;;;—;—;—;—;lion
519;U+1F42F;🐯;;;;;;;;;;—;;tiger face
520;U+1F405;🐅;;;;;;;;—;—;—;—;tiger
521;U+1F406;🐆;;;;;;;;—;—;—;—;leopard
522;U+1F434;🐴;;;;;;;;;;;;horse face
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
523;U+1F40E;🐎;;;;;;;;;;—;—;horse
524;U+1F984;🦄;;;;;;;;—;—;—;—;unicorn
525;U+1F993;🦓;;;;;;;;—;—;—;—;zebra
526;U+1F98C;🦌;;;;;;;;—;—;—;—;deer
527;U+1F9AC;🦬;… …;… …;… …;… …;… …;… …;… …;… …;… …;… …;… …;⊛ bison
528;U+1F42E;🐮;;;;;;;;;;—;;cow face
529;U+1F402;🐂;;;;;;;;—;—;—;—;ox
530;U+1F403;🐃;;;;;;;;—;—;—;—;water buffalo
531;U+1F404;🐄;;;;;;;;—;—;—;—;cow
532;U+1F437;🐷;;;;;;;;;;;;pig face
533;U+1F416;🐖;;;;;;;;—;—;—;—;pig
534;U+1F417;🐗;;;;;;;;;;—;;boar
535;U+1F43D;🐽;;;;;;;;;—;—;;pig nose
536;U+1F40F;🐏;;;;;;;;—;—;—;—;ram
537;U+1F411;🐑;;;;;;;;;;—;—;ewe
538;U+1F410;🐐;;;;;;;;—;—;—;—;goat
539;U+1F42A;🐪;;;;;;;;—;—;—;—;camel
540;U+1F42B;🐫;;;;;;;;;;—;;two-hump camel
541;U+1F999;🦙;;;;;;;;—;—;—;—;llama
542;U+1F992;🦒;;;;;;;;—;—;—;—;giraffe
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
543;U+1F418;🐘;;;;;;;;;;—;;elephant
544;U+1F9A3;🦣;… …;… …;… …;… …;… …;… …;… …;… …;… …;… …;… …;⊛ mammoth
545;U+1F98F;🦏;;;;;;;;—;—;—;—;rhinoceros
546;U+1F99B;🦛;;;;;;;;—;—;—;—;hippopotamus
547;U+1F42D;🐭;;;;;;;;;;—;;mouse face
548;U+1F401;🐁;;;;;;;;—;—;—;—;mouse
549;U+1F400;🐀;;;;;;;;—;—;—;—;rat
550;U+1F439;🐹;;;;;;;;;;—;—;hamster
551;U+1F430;🐰;;;;;;;;;;—;;rabbit face
552;U+1F407;🐇;;;;;;;;—;—;—;—;rabbit
553;U+1F43F;🐿;;;;;;;;—;—;—;—;chipmunk
554;U+1F9AB;🦫;… …;… …;… …;… …;… …;… …;… …;… …;… …;… …;… …;⊛ beaver
555;U+1F994;🦔;;;;;;;;—;—;—;—;hedgehog
556;U+1F987;🦇;;;;;;;;—;—;—;—;bat
557;U+1F43B;🐻;;;;;;;;;;—;;bear
558;U+1F43B U+200D U+2744 U+FE0F;🐻‍❄️;—;;—;—;—;;—;—;—;—;—;⊛ polar bear
559;U+1F428;🐨;;;;;;;;;;—;;koala
560;U+1F43C;🐼;;;;;;;;;—;—;;panda
561;U+1F9A5;🦥;;;;;;;;—;—;—;—;sloth
562;U+1F9A6;🦦;;;;;;;;—;—;—;—;otter
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
563;U+1F9A8;🦨;;;;;;;;—;—;—;—;skunk
564;U+1F998;🦘;;;;;;;;—;—;—;—;kangaroo
565;U+1F9A1;🦡;;;;;;;;—;—;—;—;badger
566;U+1F43E;🐾;;;;;;;;;—;—;;paw prints
animal-bird;animal-bird;animal-bird;animal-bird;animal-bird;animal-bird;animal-bird;animal-bird;animal-bird;animal-bird;animal-bird;animal-bird;animal-bird;animal-bird;animal-bird
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
567;U+1F983;🦃;;;;;;;;—;—;—;—;turkey
568;U+1F414;🐔;;;;;;;;;;—;;chicken
569;U+1F413;🐓;;;;;;;;—;—;—;—;rooster
570;U+1F423;🐣;;;;;;;;;—;—;;hatching chick
571;U+1F424;🐤;;;;;;;;;;;;baby chick
572;U+1F425;🐥;;;;;;;;;—;—;;front-facing baby chick
573;U+1F426;🐦;;;;;;;;;;—;—;bird
574;U+1F427;🐧;;;;;;;;;;;;penguin
575;U+1F54A;🕊;;;;;;;;—;—;—;—;dove
576;U+1F985;🦅;;;;;;;;—;—;—;—;eagle
577;U+1F986;🦆;;;;;;;;—;—;—;—;duck
578;U+1F9A2;🦢;;;;;;;;—;—;—;—;swan
579;U+1F989;🦉;;;;;;;;—;—;—;—;owl
580;U+1F9A4;🦤;… …;… …;… …;… …;… …;… …;… …;… …;… …;… …;… …;⊛ dodo
581;U+1FAB6;🪶;—;;—;—;—;;—;—;—;—;—;⊛ feather
582;U+1F9A9;🦩;;;;;;;;—;—;—;—;flamingo
583;U+1F99A;🦚;;;;;;;;—;—;—;—;peacock
584;U+1F99C;🦜;;;;;;;;—;—;—;—;parrot
animal-amphibian;animal-amphibian;animal-amphibian;animal-amphibian;animal-amphibian;animal-amphibian;animal-amphibian;animal-amphibian;animal-amphibian;animal-amphibian;animal-amphibian;animal-amphibian;animal-amphibian;animal-amphibian;animal-amphibian
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
585;U+1F438;🐸;;;;;;;;;;—;;frog
animal-reptile;animal-reptile;animal-reptile;animal-reptile;animal-reptile;animal-reptile;animal-reptile;animal-reptile;animal-reptile;animal-reptile;animal-reptile;animal-reptile;animal-reptile;animal-reptile;animal-reptile
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
586;U+1F40A;🐊;;;;;;;;—;—;—;—;crocodile
587;U+1F422;🐢;;;;;;;;;—;—;;turtle
588;U+1F98E;🦎;;;;;;;;—;—;—;—;lizard
589;U+1F40D;🐍;;;;;;;;;;—;;snake
590;U+1F432;🐲;;;;;;;;;—;—;;dragon face
591;U+1F409;🐉;;;;;;;;—;—;—;—;dragon
592;U+1F995;🦕;;;;;;;;—;—;—;—;sauropod
593;U+1F996;🦖;;;;;;;;—;—;—;—;T-Rex
animal-marine;animal-marine;animal-marine;animal-marine;animal-marine;animal-marine;animal-marine;animal-marine;animal-marine;animal-marine;animal-marine;animal-marine;animal-marine;animal-marine;animal-marine
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
594;U+1F433;🐳;;;;;;;;;;—;;spouting whale
595;U+1F40B;🐋;;;;;;;;—;—;—;—;whale
596;U+1F42C;🐬;;;;;;;;;;—;;dolphin
597;U+1F9AD;🦭;… …;… …;… …;… …;… …;… …;… …;… …;… …;… …;… …;⊛ seal
598;U+1F41F;🐟;;;;;;;;;;;—;fish
599;U+1F420;🐠;;;;;;;;;;—;;tropical fish
600;U+1F421;🐡;;;;;;;;;—;—;;blowfish
601;U+1F988;🦈;;;;;;;;—;—;—;—;shark
602;U+1F419;🐙;;;;;;;;;;—;;octopus
603;U+1F41A;🐚;;;;;;;;;;—;;spiral shell
animal-bug;animal-bug;animal-bug;animal-bug;animal-bug;animal-bug;animal-bug;animal-bug;animal-bug;animal-bug;animal-bug;animal-bug;animal-bug;animal-bug;animal-bug
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
604;U+1F40C;🐌;;;;;;;;;—;;;snail
605;U+1F98B;🦋;;;;;;;;—;—;—;—;butterfly
606;U+1F41B;🐛;;;;;;;;;;—;;bug
607;U+1F41C;🐜;;;;;;;;;—;—;;ant
608;U+1F41D;🐝;;;;;;;;;—;—;;honeybee
609;U+1FAB2;🪲;… …;… …;… …;… …;… …;… …;… …;… …;… …;… …;… …;⊛ beetle
610;U+1F41E;🐞;;;;;;;;;—;—;;lady beetle
611;U+1F997;🦗;;;;;;;;—;—;—;—;cricket
612;U+1FAB3;🪳;… …;… …;… …;… …;… …;… …;… …;… …;… …;… …;… …;⊛ cockroach
613;U+1F577;🕷;;;;;;;;—;—;—;—;spider
614;U+1F578;🕸;;;;;;;;—;—;—;—;spider web
615;U+1F982;🦂;;;;;;;;—;—;—;—;scorpion
616;U+1F99F;🦟;;;;;;;;—;—;—;—;mosquito
617;U+1FAB0;🪰;… …;… …;… …;… …;… …;… …;… …;… …;… …;… …;… …;⊛ fly
618;U+1FAB1;🪱;… …;… …;… …;… …;… …;… …;… …;… …;… …;… …;… …;⊛ worm
619;U+1F9A0;🦠;;;;;;;;—;—;—;—;microbe
plant-flower;plant-flower;plant-flower;plant-flower;plant-flower;plant-flower;plant-flower;plant-flower;plant-flower;plant-flower;plant-flower;plant-flower;plant-flower;plant-flower;plant-flower
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
620;U+1F490;💐;;;;;;;;;;—;;bouquet
621;U+1F338;🌸;;;;;;;;;;;;cherry blossom
622;U+1F4AE;💮;;;;;;;;;—;—;;white flower
623;U+1F3F5;🏵;;;;;;;;—;—;—;—;rosette
624;U+1F339;🌹;;;;;;;;;;—;;rose
625;U+1F940;🥀;;;;;;;;—;—;—;—;wilted flower
626;U+1F33A;🌺;;;;;;;;;;—;;hibiscus
627;U+1F33B;🌻;;;;;;;;;;—;;sunflower
628;U+1F33C;🌼;;;;;;;;;—;—;;blossom
629;U+1F337;🌷;;;;;;;;;;;;tulip
plant-other;plant-other;plant-other;plant-other;plant-other;plant-other;plant-other;plant-other;plant-other;plant-other;plant-other;plant-other;plant-other;plant-other;plant-other
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
630;U+1F331;🌱;;;;;;;;;—;;;seedling
631;U+1FAB4;🪴;—;;—;—;—;;—;—;—;—;—;⊛ potted plant
632;U+1F332;🌲;;;;;;;;—;—;—;—;evergreen tree
633;U+1F333;🌳;;;;;;;;—;—;—;—;deciduous tree
634;U+1F334;🌴;;;;;;;;;;—;;palm tree
635;U+1F335;🌵;;;;;;;;;;—;;cactus
636;U+1F33E;🌾;;;;;;;;;;—;—;sheaf of rice
637;U+1F33F;🌿;;;;;;;;;—;—;;herb
638;U+2618;☘;;;;;;;;—;—;—;—;shamrock
639;U+1F340;🍀;;;;;;;;;;;;four leaf clover
640;U+1F341;🍁;;;;;;;;;;;;maple leaf
641;U+1F342;🍂;;;;;;;;;;—;;fallen leaf
642;U+1F343;🍃;;;;;;;;;;—;—;leaf fluttering in wind
Food & Drink;Food & Drink;Food & Drink;Food & Drink;Food & Drink;Food & Drink;Food & Drink;Food & Drink;Food & Drink;Food & Drink;Food & Drink;Food & Drink;Food & Drink;Food & Drink;Food & Drink
food-fruit;food-fruit;food-fruit;food-fruit;food-fruit;food-fruit;food-fruit;food-fruit;food-fruit;food-fruit;food-fruit;food-fruit;food-fruit;food-fruit;food-fruit
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
643;U+1F347;🍇;;;;;;;;;—;—;;grapes
644;U+1F348;🍈;;;;;;;;;—;—;;melon
645;U+1F349;🍉;;;;;;;;;;—;;watermelon
646;U+1F34A;🍊;;;;;;;;;;—;;tangerine
647;U+1F34B;🍋;;;;;;;;—;—;—;—;lemon
648;U+1F34C;🍌;;;;;;;;;—;;;banana
649;U+1F34D;🍍;;;;;;;;;—;—;;pineapple
650;U+1F96D;🥭;;;;;;;;—;—;—;—;mango
651;U+1F34E;🍎;;;;;;;;;;;;red apple
652;U+1F34F;🍏;;;;;;;;;—;—;;green apple
653;U+1F350;🍐;;;;;;;;—;—;—;—;pear
654;U+1F351;🍑;;;;;;;;;—;—;;peach
655;U+1F352;🍒;;;;;;;;;—;;;cherries
656;U+1F353;🍓;;;;;;;;;;—;;strawberry
657;U+1FAD0;🫐;—;;—;—;—;;—;—;—;—;—;⊛ blueberries
658;U+1F95D;🥝;;;;;;;;—;—;—;—;kiwi fruit
659;U+1F345;🍅;;;;;;;;;;—;;tomato
660;U+1FAD2;🫒;—;;—;—;—;;—;—;—;—;—;⊛ olive
661;U+1F965;🥥;;;;;;;;—;—;—;—;coconut
food-vegetable;food-vegetable;food-vegetable;food-vegetable;food-vegetable;food-vegetable;food-vegetable;food-vegetable;food-vegetable;food-vegetable;food-vegetable;food-vegetable;food-vegetable;food-vegetable;food-vegetable
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
662;U+1F951;🥑;;;;;;;;—;—;—;—;avocado
663;U+1F346;🍆;;;;;;;;;;—;;eggplant
664;U+1F954;🥔;;;;;;;;—;—;—;—;potato
665;U+1F955;🥕;;;;;;;;—;—;—;—;carrot
666;U+1F33D;🌽;;;;;;;;;—;—;;ear of corn
667;U+1F336;🌶;;;;;;;;—;—;—;—;hot pepper
668;U+1FAD1;🫑;… …;… …;… …;… …;… …;… …;… …;… …;… …;… …;… …;⊛ bell pepper
669;U+1F952;🥒;;;;;;;;—;—;—;—;cucumber
670;U+1F96C;🥬;;;;;;;;—;—;—;—;leafy green
671;U+1F966;🥦;;;;;;;;—;—;—;—;broccoli
672;U+1F9C4;🧄;;;;;;;;—;—;—;—;garlic
673;U+1F9C5;🧅;;;;;;;;—;—;—;—;onion
674;U+1F344;🍄;;;;;;;;;—;—;;mushroom
675;U+1F95C;🥜;;;;;;;;—;—;—;—;peanuts
676;U+1F330;🌰;;;;;;;;;—;—;;chestnut
food-prepared;food-prepared;food-prepared;food-prepared;food-prepared;food-prepared;food-prepared;food-prepared;food-prepared;food-prepared;food-prepared;food-prepared;food-prepared;food-prepared;food-prepared
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
677;U+1F35E;🍞;;;;;;;;;;;;bread
678;U+1F950;🥐;;;;;;;;—;—;—;—;croissant
679;U+1F956;🥖;;;;;;;;—;—;—;—;baguette bread
680;U+1FAD3;🫓;—;;—;—;—;;—;—;—;—;—;⊛ flatbread
681;U+1F968;🥨;;;;;;;;—;—;—;—;pretzel
682;U+1F96F;🥯;;;;;;;;—;—;—;—;bagel
683;U+1F95E;🥞;;;;;;;;—;—;—;—;pancakes
684;U+1F9C7;🧇;;;;;;;;—;—;—;—;waffle
685;U+1F9C0;🧀;;;;;;;;—;—;—;—;cheese wedge
686;U+1F356;🍖;;;;;;;;;—;—;;meat on bone
687;U+1F357;🍗;;;;;;;;;—;—;;poultry leg
688;U+1F969;🥩;;;;;;;;—;—;—;—;cut of meat
689;U+1F953;🥓;;;;;;;;—;—;—;—;bacon
690;U+1F354;🍔;;;;;;;;;;;;hamburger
691;U+1F35F;🍟;;;;;;;;;;—;;french fries
692;U+1F355;🍕;;;;;;;;;—;—;;pizza
693;U+1F32D;🌭;;;;;;;;—;—;—;—;hot dog
694;U+1F96A;🥪;;;;;;;;—;—;—;—;sandwich
695;U+1F32E;🌮;;;;;;;;—;—;—;—;taco
696;U+1F32F;🌯;;;;;;;;—;—;—;—;burrito
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
697;U+1FAD4;🫔;—;;—;—;—;;—;—;—;—;—;⊛ tamale
698;U+1F959;🥙;;;;;;;;—;—;—;—;stuffed flatbread
699;U+1F9C6;🧆;;;;;;;;—;—;—;—;falafel
700;U+1F95A;🥚;;;;;;;;—;—;—;—;egg
701;U+1F373;🍳;;;;;;;;;;—;;cooking
702;U+1F958;🥘;;;;;;;;—;—;—;—;shallow pan of food
703;U+1F372;🍲;;;;;;;;;;—;;pot of food
704;U+1FAD5;🫕;—;;—;—;—;;—;—;—;—;—;⊛ fondue
705;U+1F963;🥣;;;;;;;;—;—;—;—;bowl with spoon
706;U+1F957;🥗;;;;;;;;—;—;—;—;green salad
707;U+1F37F;🍿;;;;;;;;—;—;—;—;popcorn
708;U+1F9C8;🧈;;;;;;;;—;—;—;—;butter
709;U+1F9C2;🧂;;;;;;;;—;—;—;—;salt
710;U+1F96B;🥫;;;;;;;;—;—;—;—;canned food
food-asian;food-asian;food-asian;food-asian;food-asian;food-asian;food-asian;food-asian;food-asian;food-asian;food-asian;food-asian;food-asian;food-asian;food-asian
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
711;U+1F371;🍱;;;;;;;;;;—;;bento box
712;U+1F358;🍘;;;;;;;;;;—;;rice cracker
713;U+1F359;🍙;;;;;;;;;;;;rice ball
714;U+1F35A;🍚;;;;;;;;;;—;;cooked rice
715;U+1F35B;🍛;;;;;;;;;;—;;curry rice
716;U+1F35C;🍜;;;;;;;;;;;;steaming bowl
717;U+1F35D;🍝;;;;;;;;;;—;;spaghetti
718;U+1F360;🍠;;;;;;;;;—;—;;roasted sweet potato
719;U+1F362;🍢;;;;;;;;;;—;;oden
720;U+1F363;🍣;;;;;;;;;;—;;sushi
721;U+1F364;🍤;;;;;;;;;—;—;;fried shrimp
722;U+1F365;🍥;;;;;;;;;—;—;;fish cake with swirl
723;U+1F96E;🥮;;;;;;;;—;—;—;—;moon cake
724;U+1F361;🍡;;;;;;;;;;—;;dango
725;U+1F95F;🥟;;;;;;;;—;—;—;—;dumpling
726;U+1F960;🥠;;;;;;;;—;—;—;—;fortune cookie
727;U+1F961;🥡;;;;;;;;—;—;—;—;takeout box
food-marine;food-marine;food-marine;food-marine;food-marine;food-marine;food-marine;food-marine;food-marine;food-marine;food-marine;food-marine;food-marine;food-marine;food-marine
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
728;U+1F980;🦀;;;;;;;;—;—;—;—;crab
729;U+1F99E;🦞;;;;;;;;—;—;—;—;lobster
730;U+1F990;🦐;;;;;;;;—;—;—;—;shrimp
731;U+1F991;🦑;;;;;;;;—;—;—;—;squid
732;U+1F9AA;🦪;;;;;;;;—;—;—;—;oyster
food-sweet;food-sweet;food-sweet;food-sweet;food-sweet;food-sweet;food-sweet;food-sweet;food-sweet;food-sweet;food-sweet;food-sweet;food-sweet;food-sweet;food-sweet
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
733;U+1F366;🍦;;;;;;;;;;—;;soft ice cream
734;U+1F367;🍧;;;;;;;;;;—;;shaved ice
735;U+1F368;🍨;;;;;;;;;—;—;;ice cream
736;U+1F369;🍩;;;;;;;;;—;—;;doughnut
737;U+1F36A;🍪;;;;;;;;;—;—;;cookie
738;U+1F382;🎂;;;;;;;;;;;;birthday cake
739;U+1F370;🍰;;;;;;;;;;;;shortcake
740;U+1F9C1;🧁;;;;;;;;—;—;—;—;cupcake
741;U+1F967;🥧;;;;;;;;—;—;—;—;pie
742;U+1F36B;🍫;;;;;;;;;—;—;;chocolate bar
743;U+1F36C;🍬;;;;;;;;;—;—;;candy
744;U+1F36D;🍭;;;;;;;;;—;—;;lollipop
745;U+1F36E;🍮;;;;;;;;;—;—;;custard
746;U+1F36F;🍯;;;;;;;;;—;—;;honey pot
drink;drink;drink;drink;drink;drink;drink;drink;drink;drink;drink;drink;drink;drink;drink
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
747;U+1F37C;🍼;;;;;;;;—;—;—;—;baby bottle
748;U+1F95B;🥛;;;;;;;;—;—;—;—;glass of milk
749;U+2615;☕;;;;;;;;;;;;hot beverage
750;U+1FAD6;🫖;… …;… …;… …;… …;… …;… …;… …;… …;… …;… …;… …;⊛ teapot
751;U+1F375;🍵;;;;;;;;;;;;teacup without handle
752;U+1F376;🍶;;;;;;;;;;;;sake
753;U+1F37E;🍾;;;;;;;;—;—;—;—;bottle with popping cork
754;U+1F377;🍷;;;;;;;;;—;;;wine glass
755;U+1F378;🍸;;;;;;;;;;;;cocktail glass
756;U+1F379;🍹;;;;;;;;;—;—;;tropical drink
757;U+1F37A;🍺;;;;;;;;;;;;beer mug
758;U+1F37B;🍻;;;;;;;;;;—;;clinking beer mugs
759;U+1F942;🥂;;;;;;;;—;—;—;—;clinking glasses
760;U+1F943;🥃;;;;;;;;—;—;—;—;tumbler glass
761;U+1F964;🥤;;;;;;;;—;—;—;—;cup with straw
762;U+1F9CB;🧋;—;;—;—;—;;—;—;—;—;—;⊛ bubble tea
763;U+1F9C3;🧃;;;;;;;;—;—;—;—;beverage box
764;U+1F9C9;🧉;;;;;;;;—;—;—;—;mate
765;U+1F9CA;🧊;;;;;;;;—;—;—;—;ice
dishware;dishware;dishware;dishware;dishware;dishware;dishware;dishware;dishware;dishware;dishware;dishware;dishware;dishware;dishware
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
766;U+1F962;🥢;;;;;;;;—;—;—;—;chopsticks
767;U+1F37D;🍽;;;;;;;;—;—;—;—;fork and knife with plate
768;U+1F374;🍴;;;;;;;;;;;;fork and knife
769;U+1F944;🥄;;;;;;;;—;—;—;—;spoon
770;U+1F52A;🔪;;;;;;;;;—;—;;kitchen knife
771;U+1F3FA;🏺;;;;;;;;—;—;—;—;amphora
Travel & Places;Travel & Places;Travel & Places;Travel & Places;Travel & Places;Travel & Places;Travel & Places;Travel & Places;Travel & Places;Travel & Places;Travel & Places;Travel & Places;Travel & Places;Travel & Places;Travel & Places
place-map;place-map;place-map;place-map;place-map;place-map;place-map;place-map;place-map;place-map;place-map;place-map;place-map;place-map;place-map
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
772;U+1F30D;🌍;;;;;;;;—;—;—;—;globe showing Europe-Africa
773;U+1F30E;🌎;;;;;;;;—;—;—;—;globe showing Americas
774;U+1F30F;🌏;;;;;;;;;—;—;;globe showing Asia-Australia
775;U+1F310;🌐;;;;;;;;—;—;—;—;globe with meridians
776;U+1F5FA;🗺;;;;;;;;—;—;—;—;world map
777;U+1F5FE;🗾;;;;;;;—;;—;—;;map of Japan
778;U+1F9ED;🧭;;;;;;;;—;—;—;—;compass
place-geographic;place-geographic;place-geographic;place-geographic;place-geographic;place-geographic;place-geographic;place-geographic;place-geographic;place-geographic;place-geographic;place-geographic;place-geographic;place-geographic;place-geographic
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
779;U+1F3D4;🏔;;;;;;;;—;—;—;—;snow-capped mountain
780;U+26F0;⛰;;;;;;;;—;—;—;—;mountain
781;U+1F30B;🌋;;;;;;;;;—;—;;volcano
782;U+1F5FB;🗻;;;;;;;;;;;;mount fuji
783;U+1F3D5;🏕;;;;;;;;—;—;—;—;camping
784;U+1F3D6;🏖;;;;;;;;—;—;—;—;beach with umbrella
785;U+1F3DC;🏜;;;;;;;;—;—;—;—;desert
786;U+1F3DD;🏝;;;;;;;;—;—;—;—;desert island
787;U+1F3DE;🏞;;;;;;;;—;—;—;—;national park
place-building;place-building;place-building;place-building;place-building;place-building;place-building;place-building;place-building;place-building;place-building;place-building;place-building;place-building;place-building
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
788;U+1F3DF;🏟;;;;;;;;—;—;—;—;stadium
789;U+1F3DB;🏛;;;;;;;;—;—;—;—;classical building
790;U+1F3D7;🏗;;;;;;;;—;—;—;—;building construction
791;U+1F9F1;🧱;;;;;;;;—;—;—;—;brick
792;U+1FAA8;🪨;—;;—;—;—;;—;—;—;—;—;⊛ rock
793;U+1FAB5;🪵;—;;—;—;—;;—;—;—;—;—;⊛ wood
794;U+1F6D6;🛖;… …;… …;… …;… …;… …;… …;… …;… …;… …;… …;… …;⊛ hut
795;U+1F3D8;🏘;;;;;;;;—;—;—;—;houses
796;U+1F3DA;🏚;;;;;;;;—;—;—;—;derelict house
797;U+1F3E0;🏠;;;;;;;;;;;;house
798;U+1F3E1;🏡;;;;;;;;;—;—;;house with garden
799;U+1F3E2;🏢;;;;;;;;;;;;office building
800;U+1F3E3;🏣;;;;;;;;;;;;Japanese post office
801;U+1F3E4;🏤;;;;;;;;—;—;—;—;post office
802;U+1F3E5;🏥;;;;;;;;;;;;hospital
803;U+1F3E6;🏦;;;;;;;;;;;;bank
804;U+1F3E8;🏨;;;;;;;;;;;;hotel
805;U+1F3E9;🏩;;;;;;;;;;—;;love hotel
806;U+1F3EA;🏪;;;;;;;;;;;;convenience store
807;U+1F3EB;🏫;;;;;;;;;;;;school
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
808;U+1F3EC;🏬;;;;;;;;;;—;;department store
809;U+1F3ED;🏭;;;;;;;;;;—;;factory
810;U+1F3EF;🏯;;;;;;;;;;—;;Japanese castle
811;U+1F3F0;🏰;;;;;;;;;;—;;castle
812;U+1F492;💒;;;;;;;;;;—;—;wedding
813;U+1F5FC;🗼;;;;;;;;;;—;;Tokyo tower
814;U+1F5FD;🗽;;;;;;;;;;—;—;Statue of Liberty
place-religious;place-religious;place-religious;place-religious;place-religious;place-religious;place-religious;place-religious;place-religious;place-religious;place-religious;place-religious;place-religious;place-religious;place-religious
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
815;U+26EA;⛪;;;;;;;;;;—;;church
816;U+1F54C;🕌;;;;;;;;—;—;—;—;mosque
817;U+1F6D5;🛕;;;;;;;;—;—;—;—;hindu temple
818;U+1F54D;🕍;;;;;;;;—;—;—;—;synagogue
819;U+26E9;⛩;;;;;;;;—;—;—;—;shinto shrine
820;U+1F54B;🕋;;;;;;;;—;—;—;—;kaaba
place-other;place-other;place-other;place-other;place-other;place-other;place-other;place-other;place-other;place-other;place-other;place-other;place-other;place-other;place-other
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
821;U+26F2;⛲;;;;;;;;;;—;;fountain
822;U+26FA;⛺;;;;;;;;;;—;;tent
823;U+1F301;🌁;;;;;;;;;—;;;foggy
824;U+1F303;🌃;;;;;;;;;;;;night with stars
825;U+1F3D9;🏙;;;;;;;;—;—;—;—;cityscape
826;U+1F304;🌄;;;;;;;;;;—;—;sunrise over mountains
827;U+1F305;🌅;;;;;;;;;;—;;sunrise
828;U+1F306;🌆;;;;;;;;;;—;;cityscape at dusk
829;U+1F307;🌇;;;;;;;;;;—;—;sunset
830;U+1F309;🌉;;;;;;;;;—;—;;bridge at night
831;U+2668;♨;;;;;;;;;;;;hot springs
832;U+1F3A0;🎠;;;;;;;;;—;;—;carousel horse
833;U+1F3A1;🎡;;;;;;;;;;—;;ferris wheel
834;U+1F3A2;🎢;;;;;;;;;;—;;roller coaster
835;U+1F488;💈;;;;;;;;;;—;;barber pole
836;U+1F3AA;🎪;;;;;;;;;—;;;circus tent
